RegionalMember,Year,GDP growth,Unit of Measurement, Subregion, Country Code
Developing Asia,2017,6.2,%,,
Developing Asia,2018,6,%,,
Developing Asia,2019,5,%,,
Developing Asia,2020,-0.8,%,,
Developing Asia,2021,6.9,%,,
Developing Asia,2022 forecast,5.2,%,,
Developing Asia,2023 forecast,5.3,%,,
Caucasus and Central Asia,2017,3.9,%,Caucasus and Central Asia,
Caucasus and Central Asia,2018,4.2,%,Caucasus and Central Asia,
Caucasus and Central Asia,2019,4.7,%,Caucasus and Central Asia,
Caucasus and Central Asia,2020,-2,%,Caucasus and Central Asia,
Caucasus and Central Asia,2021,5.6,%,Caucasus and Central Asia,
Caucasus and Central Asia,2022 forecast,3.6,%,Caucasus and Central Asia,
Caucasus and Central Asia,2023 forecast,4,%,Caucasus and Central Asia,
Armenia,2017,7.5,%,Caucasus and Central Asia,ARM
Armenia,2018,5.2,%,Caucasus and Central Asia,ARM
Armenia,2019,7.6,%,Caucasus and Central Asia,ARM
Armenia,2020,-7.4,%,Caucasus and Central Asia,ARM
Armenia,2021,5.7,%,Caucasus and Central Asia,ARM
Armenia,2022 forecast,2.8,%,Caucasus and Central Asia,ARM
Armenia,2023 forecast,3.8,%,Caucasus and Central Asia,ARM
Azerbaijan,2017,0.2,%,Caucasus and Central Asia,AZE
Azerbaijan,2018,1.5,%,Caucasus and Central Asia,AZE
Azerbaijan,2019,2.5,%,Caucasus and Central Asia,AZE
Azerbaijan,2020,-4.3,%,Caucasus and Central Asia,AZE
Azerbaijan,2021,5.6,%,Caucasus and Central Asia,AZE
Azerbaijan,2022 forecast,3.7,%,Caucasus and Central Asia,AZE
Azerbaijan,2023 forecast,2.8,%,Caucasus and Central Asia,AZE
Georgia,2017,4.8,%,Caucasus and Central Asia,GEO
Georgia,2018,4.8,%,Caucasus and Central Asia,GEO
Georgia,2019,5,%,Caucasus and Central Asia,GEO
Georgia,2020,-6.8,%,Caucasus and Central Asia,GEO
Georgia,2021,10.6,%,Caucasus and Central Asia,GEO
Georgia,2022 forecast,3.5,%,Caucasus and Central Asia,GEO
Georgia,2023 forecast,5,%,Caucasus and Central Asia,GEO
Kazakhstan,2017,4.1,%,Caucasus and Central Asia,KAZ
Kazakhstan,2018,4.1,%,Caucasus and Central Asia,KAZ
Kazakhstan,2019,4.5,%,Caucasus and Central Asia,KAZ
Kazakhstan,2020,-2.5,%,Caucasus and Central Asia,KAZ
Kazakhstan,2021,4,%,Caucasus and Central Asia,KAZ
Kazakhstan,2022 forecast,3.2,%,Caucasus and Central Asia,KAZ
Kazakhstan,2023 forecast,3.9,%,Caucasus and Central Asia,KAZ
Kyrgyz Republic,2017,4.7,%,Caucasus and Central Asia,KGZ
Kyrgyz Republic,2018,3.8,%,Caucasus and Central Asia,KGZ
Kyrgyz Republic,2019,4.6,%,Caucasus and Central Asia,KGZ
Kyrgyz Republic,2020,-8.4,%,Caucasus and Central Asia,KGZ
Kyrgyz Republic,2021,3.6,%,Caucasus and Central Asia,KGZ
Kyrgyz Republic,2022 forecast,2,%,Caucasus and Central Asia,KGZ
Kyrgyz Republic,2023 forecast,2.5,%,Caucasus and Central Asia,KGZ
Tajikistan,2017,7.1,%,Caucasus and Central Asia,TJK
Tajikistan,2018,7.3,%,Caucasus and Central Asia,TJK
Tajikistan,2019,7.5,%,Caucasus and Central Asia,TJK
Tajikistan,2020,4.5,%,Caucasus and Central Asia,TJK
Tajikistan,2021,9.2,%,Caucasus and Central Asia,TJK
Tajikistan,2022 forecast,2,%,Caucasus and Central Asia,TJK
Tajikistan,2023 forecast,3,%,Caucasus and Central Asia,TJK
Turkmenistan,2017,,%,Caucasus and Central Asia,TKM
Turkmenistan,2018,,%,Caucasus and Central Asia,TKM
Turkmenistan,2019,,%,Caucasus and Central Asia,TKM
Turkmenistan,2020,,%,Caucasus and Central Asia,TKM
Turkmenistan,2021,5,%,Caucasus and Central Asia,TKM
Turkmenistan,2022 forecast,6,%,Caucasus and Central Asia,TKM
Turkmenistan,2023 forecast,5.8,%,Caucasus and Central Asia,TKM
Uzbekistan,2017,4.4,%,Caucasus and Central Asia,UZB
Uzbekistan,2018,5.4,%,Caucasus and Central Asia,UZB
Uzbekistan,2019,5.7,%,Caucasus and Central Asia,UZB
Uzbekistan,2020,1.9,%,Caucasus and Central Asia,UZB
Uzbekistan,2021,7.4,%,Caucasus and Central Asia,UZB
Uzbekistan,2022 forecast,4,%,Caucasus and Central Asia,UZB
Uzbekistan,2023 forecast,4.5,%,Caucasus and Central Asia,UZB
East Asia,2017,6.4,%,East Asia,
East Asia,2018,6.1,%,East Asia,
East Asia,2019,5.5,%,East Asia,
East Asia,2020,1.8,%,East Asia,
East Asia,2021,7.6,%,East Asia,
East Asia,2022 forecast,4.7,%,East Asia,
East Asia,2023 forecast,4.5,%,East Asia,
"Hong Kong, China",2017,3.8,%,East Asia,HKG
"Hong Kong, China",2018,2.8,%,East Asia,HKG
"Hong Kong, China",2019,-1.7,%,East Asia,HKG
"Hong Kong, China",2020,-6.5,%,East Asia,HKG
"Hong Kong, China",2021,6.4,%,East Asia,HKG
"Hong Kong, China",2022 forecast,2,%,East Asia,HKG
"Hong Kong, China",2023 forecast,3.7,%,East Asia,HKG
Mongolia,2017,5.6,%,East Asia,MNG
Mongolia,2018,7.7,%,East Asia,MNG
Mongolia,2019,5.6,%,East Asia,MNG
Mongolia,2020,-4.6,%,East Asia,MNG
Mongolia,2021,1.4,%,East Asia,MNG
Mongolia,2022 forecast,2.3,%,East Asia,MNG
Mongolia,2023 forecast,5.6,%,East Asia,MNG
People's Republic of China,2017,6.9,%,East Asia,CHN
People's Republic of China,2018,6.7,%,East Asia,CHN
People's Republic of China,2019,6.1,%,East Asia,CHN
People's Republic of China,2020,2.2,%,East Asia,CHN
People's Republic of China,2021,8.1,%,East Asia,CHN
People's Republic of China,2022 forecast,5,%,East Asia,CHN
People's Republic of China,2023 forecast,4.8,%,East Asia,CHN
Republic of Korea,2017,3.2,%,East Asia,KOR
Republic of Korea,2018,2.9,%,East Asia,KOR
Republic of Korea,2019,2.2,%,East Asia,KOR
Republic of Korea,2020,-0.9,%,East Asia,KOR
Republic of Korea,2021,4,%,East Asia,KOR
Republic of Korea,2022 forecast,3,%,East Asia,KOR
Republic of Korea,2023 forecast,2.6,%,East Asia,KOR
"Taipei,China",2017,3.3,%,East Asia,TWN
"Taipei,China",2018,2.8,%,East Asia,TWN
"Taipei,China",2019,3.1,%,East Asia,TWN
"Taipei,China",2020,3.4,%,East Asia,TWN
"Taipei,China",2021,6.4,%,East Asia,TWN
"Taipei,China",2022 forecast,3.8,%,East Asia,TWN
"Taipei,China",2023 forecast,3,%,East Asia,TWN
South Asia,2017,6.5,%,South Asia,
South Asia,2018,6.4,%,South Asia,
South Asia,2019,4,%,South Asia,
South Asia,2020,-5.2,%,South Asia,
